model,dataset,seed,hidden_dim,nlayer,nheads,readoutnlayer,dropout,pe_dim,lr,weight_decay,patience,data_num,train_num,val_num,test_num,attr_num,TestAcc,TestSP,TestEO,TestF1,TestAUC,best_epoch,Maxcached,Maxallocated,train_time(s),args
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,72.79999852180481,3.682487725040917,11.764705882352944,82.56410256410255,77.35619047619048,722,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,74.40000176429749,1.8685215493726148,0.31512605042016695,83.83838383838383,81.1047619047619,401,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,nba,20,64,1,2,1,0.3,2,0.001,1e-05,200,403,156,78,79,403,70.88607549667358,1.6666666666666607,15.954415954415957,73.5632183908046,74.87179487179488,740,0.0,0.0,0,"Namespace(datapath='./data/', dataset='nba', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=99)"
FairGT,nba,20,64,1,2,1,0.3,2,0.001,1e-05,200,403,156,78,79,403,69.62025165557861,3.4848484848484795,15.954415954415957,72.72727272727273,72.62820512820512,1118,0.0,0.0,0,"Namespace(datapath='./data/', dataset='nba', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=99)"
FairGT,nba,20,64,1,2,1,0.3,2,0.001,1e-05,200,403,156,78,79,403,70.88607549667358,1.6666666666666607,15.954415954415957,73.5632183908046,74.87179487179488,740,0.0,0.0,0,"Namespace(datapath='./data/', dataset='nba', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=99)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,72.00000286102295,0.6819421713038731,3.1512605042016806,82.5,78.83428571428571,447,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,72.79999852180481,3.682487725040917,11.764705882352944,82.56410256410255,77.35619047619048,722,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,72.79999852180481,3.682487725040917,11.764705882352944,82.56410256410255,77.35619047619048,722,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,71.60000205039978,4.623567921440264,1.4705882352941124,81.65374677002583,78.26285714285714,447,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
FairGT,german,20,64,1,2,1,0.3,2,0.001,1e-05,200,1000,500,250,250,1000,72.00000286102295,0.6819421713038731,3.1512605042016806,82.5,78.83428571428571,447,0.0,0.0,0,"Namespace(datapath='./data/', dataset='german', gpuid=0, model='fairgt', seed=20, hops=2, pe_dim=2, hidden_dim=64, n_heads=2, n_layers=1, dropout=0.3, self_loop=False, peak_lr=0.001, weight_decay=1e-05, subnum=1000, sens_idex=False, is_lap=False, is_subgraph=True, batch_size=1000, epochs=2000, patience=200, readout_nlayers=1, layer_norm=True, batch_norm=False, residual=True, lap_pos_enc=True, wl_pos_enc=False, full_graph=False, norm='none', metric=7, nclass=2, in_dim=29)"
